ID,Question
1,"12 歳の男児。右陰嚢痛を主訴に夕方受診した。体育の授業中に右陰嚢部に突然激痛を感じ、その後も痛みが持続しているという。体温 36.7℃。脈拍 110/分、整。血圧 116/64 mmHg。呼吸数 18/分。SpO2 98 %（room air）。心音と呼吸音に異常を認めない。右陰嚢は左と比べて著明に腫脹し、透光性はなく、皮膚の軽度発赤を認める。触診では強い圧痛があり、精巣の挙上により痛みが軽減することはない。カラードプラ超音波検査では右精巣実質内の血流信号が低下している所見がみられた。診断はどれか。
 ａ 精巣上体炎
 ｂ 精巣水瘤
 ｃ 鼠径ヘルニア
 ｄ 精巣捻転症
 ｅ 精索静脈瘤"
2,"14歳の男子。1か月前から続く全身倦怠感と体育の授業での息切れとを主訴に来院した。身長 158 cm、体重 50 kg。体温 36.4 ℃。脈拍 98/分、整。血圧 110/66 mmHg。眼瞼結膜には明らかな貧血所見を認める。胸部聴診で異常を認めない。腹部は平坦・軟で肝・脾を触知しない。
 
 血液所見：赤血球 390 万、Hb 7.2 g/dL、Ht 27 %、白血球 6,200、血小板 38 万。血液生化学所見：総蛋白 7.0 g/dL、アルブミン 4.3 g/dL、総ビリルビン 0.6 mg/dL、AST 15 U/L、LD 160 U/L（基準 140～280）、尿素窒素 14 mg/dL、クレアチニン 0.52 mg/dL、Fe 8 μg/dL、総鉄結合能 490 μg/dL（基準 290～390）、フェリチン 4 ng/mL（基準 20～120）。
 
 診断後に鉄剤投与を開始した。治療に反応して、最初に増加するのはどれか。
 
 - a 血清鉄値
 - b 網赤血球数
 - c ヘモグロビン値
 - d 血清フェリチン値
 - e トランスフェリン飽和度"
3,"19 歳の女性。演劇の練習中にめまいを自覚し、そのまま意識消失した。数分後に 意識は回復したが、強い胸背部痛を訴えたため救急外来を受診した。小児期から水晶 体亜脱臼を指摘されており、視力低下のため矯正眼鏡を使用している。高校ではバス ケットボール部に所属していた。家族歴に特記事項はない。身長 178 cm、体重 60 kg。 意識清明。体温 36.4 ℃、心拍数 70/分（整）、血圧 128/48 mmHg、呼吸数 18/分、SpO2 98％（room air）。胸骨左縁第 3 肋間に Levine 2/6 の拡張期雑音を聴取する。四肢が 比較的細長い。心電図には特記すべき所見を認めない。造影 CT にて上行大動脈解離 を認め、緊急手術を施行した。術後 2 週間目に退院が可能となった。患者への退院 時の説明として、誤っているのはどれか。
 
 a 「β 遮断薬の内服を継続する必要があります」
 b 「以前と同じ強度での運動を再開して問題ありません」
 c 「定期的に大動脈の画像検査を行いましょう」
 d 「胸や背中の痛みがあれば早めに受診してください」
 e 「親族に同様の症状がないか確認し、必要であれば遺伝相談を受けましょう」"
4,"2 か月の女児。母親に抱かれて来院した。""呼吸がいつもより早い""と母親が訴える。周産期に特筆すべき異常はなく、ワクチン接種の遅れもない。意識は清明。① 体温 37.8℃。② 心拍数 150/分、整。③ 呼吸数 60/分。④ 大泉門の軽度膨隆。⑤ 四肢末端の軽度チアノーゼ。下線部のうち、迅速な対応を要する所見はどれか。a) ① b) ② c) ③ d) ④ e) ⑤"
5,2 歳児のけいれんの原因で最も頻度が高いのはどれか。\nａ 急性脳症\nｂ てんかん\nｃ 細菌性髄膜炎\nｄ 熱性けいれん\nｅ 憤怒けいれん〈泣き入りひきつけ〉
6,"21 歳の女性。2 週間前より発熱や強い咽頭痛が続くため受診した。自宅近くの医療機関で施行した血液検査で白血球増多を指摘され、精査のため紹介された。体温 38.2 ℃。脈拍 90/分、整。血圧 116/74 mmHg。眼瞼結膜に貧血はなく、黄疸も認めない。両側扁桃が腫大し白苔を伴う発赤がみられる。両側頸部に有痛性のリンパ節腫脹を多数触知する。心音・呼吸音は異常なし。腹部診察で軽度の肝腫大を認めるが、脾は触知しない。血液所見：赤血球 485 万、Hb 14.0 g/dL、Ht 42 %、白血球 23,500（桿状核好中球 2 %、分葉核好中球 10 %、リンパ球 70 %、異型リンパ球 18 %）、血小板 22 万。血液生化学所見：総ビリルビン 1.2 mg/dL、AST 184 U/L、ALT 250 U/L、LD 620 U/L、ALP 280 U/L、クレアチニン 0.8 mg/dL、CRP 1.0 mg/dL。
 この患者への対応として適切なのはどれか。
 ａ 経過観察
 ｂ 血漿交換
 ｃ アシクロビル投与
 ｄ アンピシリン投与
 ｅ 殺細胞性抗癌薬投与"
7,"22 歳の男性。3 日前からの軽度の胸部不快感と呼吸困難を主訴に来院した。既 往歴に特記すべきことはない。家族歴として父親が若年時に肺血栓塞栓症を発症 したという。意識は清明。体温 36.4℃。脈拍 110/分、整。血圧 108/70 mmHg。呼 吸数 26/分。SpO2 95％（room air）。心音と呼吸音との聴診で異常を認めない。 腹部は平坦で、肝・脾を触知しない。下肢に腫脹はないが、軽度の痛みを訴える。 血液所見：赤血球 480 万、Hb 15.0 g/dL、Ht 44％、白血球 7,000（好中球 60％、 好酸球 2％、単球 4％、リンパ球 34％）、血小板 20 万、PT-INR 1.1（基準0.9～ 1.1）、活性化部分トロンボプラスチン時間〈APTT〉31 秒（基準対照 32.0）、血 漿フィブリノゲン 310 mg/dL（基準 186～355）、D ダイマー 6 μg/mL（基準 1.0 以 下）。血液生化学所見：総ビリルビン 1.0 mg/dL、LD 220 U/L（基準 124～222）、 尿素窒素 18 mg/dL、クレアチニン 0.7 mg/dL。CRP 0.2 mg/dL。胸部エックス線写 真で異常を認めない。直ちに行う検査で最も適切なのはどれか。 
 
 ａ 呼吸機能検査
 ｂ 気管支鏡検査
 ｃ 心エコー検査
 ｄ 胸部造影 CT
 ｅ 下肢静脈エコー"
8,"24 歳の女性。3 日前から呼吸がゼーゼーと鳴るため来院した。
 
 現病歴 ： 1 週間前にくしゃみや鼻水などの感冒様症状があった。3 日前から動くと息苦しい感じが強くなり、夜間も呼吸困難が続いたため受診した。
 既往歴 ： 小児期より感冒後に喘鳴を繰り返すことが多かった。
 生活歴 ： 喫煙歴はない。ペットは飼っていない。
 家族歴 ： 父はアレルギー性鼻炎。
 現 症 ： 意識清明。身長 160 cm、体重 54 kg。体温 36.5 ℃。脈拍 88/分、整。血圧 110/76 mmHg。呼吸数 22/分。SpO2 97 %（room air）。頸静脈怒張や下腿浮腫は認めない。心音に異常を認めない。両肺に呼気性の wheezes を聴取する。
 検査所見 ： 血液所見：白血球 7,900（好中球 52 %、好酸球 12 %、単球 7 %、リンパ球 29 %）、Hb 13.2 g/dL、Ht 40 %、血小板 23 万。血液生化学所見：総ビリルビン 0.7 mg/dL、AST 18 U/L、ALT 15 U/L、LD 190 U/L（基準 124～222）、尿素窒素 15 mg/dL、クレアチニン 0.7 mg/dL、Na 139 mEq/L、K 3.9 mEq/L、Cl 100 mEq/L。胸部エックス線写真では異常を認めない。救急外来で吸入治療を行い、呼吸困難は改善した。
 
 翌日の外来受診時に処方すべき薬剤はどれか。
 
 ａ 抗ヒスタミン薬
 ｂ 経口短時間作用性β2刺激薬
 ｃ 長時間作用性抗コリン薬 (LAMA)
 ｄ 吸入副腎皮質ステロイド/長時間作用性β2刺激薬配合剤
 ｅ 血管拡張薬"
9,25 歳の男性。1 週間前からの咳嗽と血痰を主訴に来院した。発熱や倦怠感も伴っ ている。既往歴に特記すべきことはない。身長 170 cm、体重 60 kg。脈拍 88/ 分、整。血圧 124/70 mmHg。胸部聴診で両肺野に Coarse cracklesを聴取する。 尿所見：蛋白 1＋、潜血 2＋、糸球体由来と思われる赤血球円柱を認める。血液検 査では貧血と軽度の血清クレアチニン上昇を認める。 この患者で認められる可能性が高いのはどれか。 a 抗糸球体基底膜抗体陽性 b IgE 高値 c 抗核抗体陽性 d 抗ミトコンドリア抗体陽性 e 抗リン脂質抗体陽性
10,25歳の女性。新規プロジェクトの担当になってから、仕事に行く前になると頭痛や吐き気を感じるようになり、出勤が難しくなったと訴えて来院した。1か月前に上司から期待する成果を強く求められ、以来プロジェクトに対して過度の不安を抱くようになった。仕事のことが気になって夜はなかなか寝つけないが、休日には友人との食事や買い物を楽しめている。既往歴・家族歴に特記すべきことはない。受診後、しばらく休職すると頭痛や吐き気は軽快し、上司からのサポートも得られるようになったため3か月後には職場復帰が可能となった。診断はどれか。\na うつ病\nb パニック障害\nc 不眠障害\nd 適応障害〈適応反応症〉\ne 心的外傷後ストレス障害
11,"27歳の男性。激しい頭痛と発熱を主訴に来院した。2日前より軽い倦怠感を自覚し、次第に悪寒を伴う高熱を認めるようになった。昨夜からは頭痛が増強し、意識がもうろうとしてきたという。生来健康であった。意識はやや混濁している。身長 172 cm、体重 68 kg。体温 39.5 ℃。脈拍 110/分、整。血圧 88/56 mmHg。呼吸数 26/分。SpO2 95％（room air）。結膜に点状出血を認める。頸部硬直が著明で、Kernig 徴候が陽性。聴診で心音、呼吸音に異常を認めない。腹部は平坦、軟で、肝脾は触知しない。四肢伸展時に皮膚の出血斑が広がりやすい。血液培養を行ったところ、グラム陰性双球菌の発育が認められた。最も考えられる原因微生物はどれか。 
 ａ Escherichia coli 
 ｂ Streptococcus pneumoniae 
 ｃ Moraxella catarrhalis 
 ｄ Neisseria gonorrhoeae 
 ｅ Neisseria meningitidis"
